slug_country,tournament,id,slug_torn
brazil,U20 Maranhense,26519,u20-maranhense
brazil,U20 Mineiro,22434,u20-mineiro
brazil,"U20 Mineiro, 2ª Divisão",22815,u20-mineiro-2a-divisao
brazil,U20 Paraense,21164,u20-paraense
brazil,U20 Paraibano,22979,u20-paraibano
brazil,U20 Paranaense,21998,u20-paranaense
brazil,"U20 Paranaense, 2ª divisão",26383,u20-paranaense-2a-divisao
brazil,U20 Copa Paraná,24434,u20-copa-parana
brazil,U20 Paulista,10308,u20-paulista
brazil,"U20 Paulista, Série B",26518,u20-paulista-serie-b
brazil,"U20 Paulista, Feminino",22988,u20-paulista-feminino
brazil,U20 Pernambucano,22248,u20-pernambucano
brazil,U20 Copa Pernambuco,24851,u20-copa-pernambuco
brazil,U20 Piauiense,26948,u20-piauiense
brazil,U20 Potiguar,20800,u20-potiguar
brazil,U20 Rondoniense,25650,u20-rondoniense
brazil,U20 Sergipano,22505,u20-sergipano
brazil,"U20 Sergipano, Série A2",22808,u20-sergipano-serie-a2
brazil,U20 Sul-Mato-Grossense,26298,u20-sul-mato-grossense
brazil,U20 Tocantinense,22497,u20-tocantinense
brazil,U21 Catarinense,22071,u21-catarinense-b
brazil,Brasil Ladies Cup,21698,brasil-ladies-cup
brazil,Torneio Paraná de Verão,21851,torneio-parana-de-verao
brazil,Copa FGF,20620,copa-fgf
brazil,U20 Copa do Nordeste,28145,u20-copa-do-nordeste
british-virgin-islands,BVIFA National League,19950,bvifa-national-league
brunei,Super League,17017,super-league
bulgaria,Parva Liga,247,parva-liga
bulgaria,Vtora Liga,1135,vtora-liga
bulgaria,Bulgarian Cup,365,bulgarian-cup
bulgaria,Bulgarian Supercup,510,super-cup
bulgaria,Women's Super League,24121,womens-super-league
bulgaria,Treta Liga,28023,treta-liga
burundi,Primus League,16663,primus-league
burundi,Ligue B Nationale,19377,ligue-b-nationale
cambodia,Cambodian Premier League,10741,cambodian-premier-league
cambodia,Hun Sen Cup,18539,hun-sen-cup
cameroon,Elite One,1006,elite-one
canada,Canadian Premier League,13470,canadian-premier-league
canada,Canadian Soccer League,482,canadian-soccer-league
canada,Canadian Championship,9230,canadian-championship
canada,League1 Alberta,22002,league1-alberta
canada,League1 BC,20311,league1-bc
canada,Ligue1 Québec,20342,ligue1-quebec
canada,League1 Ontario Premier,20370,league1-ontario-premier
canada,League1 Ontario Championship,22001,league1-ontario-championship
canada,League1 Ontario Cup,22249,league1-ontario-cup
canada,"Ligue1 Québec, Women",27052,ligue1-quebec-women
canada,Ligue2 Québec,25635,ligue2-quebec
canada,Ligue3 Québec,25736,ligue3-quebec
canada,Northern Super League,26135,northern-super-league
canada,Pacific Coast Soccer League,26764,pacific-coast-soccer-league
cape-verde,Campeonato Nacional,18728,campeonato-nacional
cayman-islands,CIFA Premier League,21826,cifa-premier-league
chad,Première Division de N’Djaména,22106,premiere-division-de-n-djamena
chad,Deuxième Division de N’Djaména,22107,deuxieme-division-de-n-djamena
chad,Championnat d’Honneur U17,26159,championnat-d-honneur-u17
chile,Segunda División,18834,segunda-division
chile,Liga de Primera,11653,primera-division
chile,Liga de Ascenso,1240,primera-b
chile,Copa Chile,1221,copa-chile
chile,Supercopa de Chile,1309,supercopa-de-chile
chile,Campeonato Nacional Formativo - Proyección,22430,campeonato-nacional-formativo-proyeccion
chile,Campeonato Nacional Formativo - Sub 18,22431,campeonato-nacional-formativo-sub-18
chile,Chile Primera Division Women,22003,primera-division-women
chile,Copa Futuro Sub-20,26509,copa-futuro-sub-20
china,Chinese Super League,649,cfa-super-league
china,Chinese League 1,782,cfa-china-league
china,Chinese League 2,10381,cfa-division-two-league
china,CFA Cup,882,cfa-cup
china,CFA Super Cup,3079,cfa-super-cup
china,CFA Women's Super League,10580,cfa-womens-super-league
china,National Games of China U20,27074,national-games-of-china-u20
chinese-taipei,Mulan Football League,22252,mulan-football-league
