,teamName,id,teamslug,teamorigin
424,Botafogo,1958,botafogo,brazil
425,Mirassol,21982,mirassol,brazil
426,São Paulo,1981,sao-paulo,brazil
427,Red Bull Bragantino,1999,red-bull-bragantino,brazil
428,Fluminense,1961,fluminense,brazil
429,Internacional,1966,internacional,brazil
430,Ceará,2001,ceara,brazil
431,Corinthians,1957,corinthians,brazil
432,Grêmio,5926,gremio,brazil
433,Atlético Mineiro,1977,atletico-mineiro,brazil
434,Vasco da Gama,1974,vasco-da-gama,brazil
435,Santos,1968,santos,brazil
436,Vitória,1962,vitoria,brazil
437,Juventude,1980,juventude,brazil
438,Fortaleza,2020,fortaleza,brazil
439,Sport Recife,1959,sport-recife,brazil
440,Virgin Gorda United,463150,virgin-gorda-united,british-virgin-islands
441,Wolues FC,463153,wolues-fc,british-virgin-islands
442,Islanders FC,463144,islanders-fc,british-virgin-islands
443,Panthers FC,463143,panthers-fc,british-virgin-islands
444,One Love United FC,463151,one-love-united-fc,british-virgin-islands
445,Lion Heart FC,463149,lion-heart-fc,british-virgin-islands
446,Rebels FC,463146,rebels-fc,british-virgin-islands
447,Positive FC,463148,positive-fc,british-virgin-islands
448,Sugar Boys FC,463152,sugar-boys-fc,british-virgin-islands
449,Old Madrid FC,463145,old-madrid-fc,british-virgin-islands
450,Avengers FC,933557,avengers-fc,british-virgin-islands
451,Kasuka FC,378124,kasuka-fc,brunei
452,Indera SC,338854,indera-sc,brunei
453,Kota Ranger FC,385126,kota-ranger-fc,brunei
454,MS ABDB,385125,ms-abdb,brunei
455,AKSE Bersatu,463701,akse-bersatu,brunei
456,KB FC,385118,kb-fc,brunei
457,MS PPDB,385121,ms-ppdb,brunei
458,IKLS MB-5,385122,ikls-mb-5,brunei
459,Wijaya FC,385117,wijaya-fc,brunei
460,Rimba Star FC,385120,rimba-star-fc,brunei
461,Lun Bawang FC,463702,lun-bawang-fc,brunei
462,Panchor Murai FC,385128,panchor-murai-fc,brunei
463,Bakes FC,385123,bakes-fc,brunei
464,Setia Perdana FC,385119,setia-perdana-fc,brunei
465,BSRC FC,385124,bsrc-fc,brunei
466,Jerudong FC,385127,jerudong-fc,brunei
467,Ludogorets,43840,ludogorets,bulgaria
468,Levski Sofia,3273,levski-sofia,bulgaria
469,Lokomotiv Plovdiv,3272,lokomotiv-plovdiv,bulgaria
470,FC CSKA 1948 Sofia,252080,fc-cska-1948-sofia,bulgaria
471,Cherno More Varna,3280,cherno-more-varna,bulgaria
472,Lokomotiv Sofia,3277,lokomotiv-sofia,bulgaria
473,Botev Vratsa,36938,botev-vratsa,bulgaria
474,PFK Montana 1921,32642,pfk-montana-1921,bulgaria
475,Beroe Stara Zagora,3281,beroe-stara-zagora,bulgaria
476,FK Septemvri Sofia,201203,fk-septemvri-sofia,bulgaria
477,Arda Kardzhali,274971,arda-kardzhali,bulgaria
478,FK Dobrudzha Dobrich,5242,fk-dobrudzha-dobrich,bulgaria
479,Slavia Sofia,3274,slavia-sofia,bulgaria
480,CSKA Sofia,3275,cska-sofia,bulgaria
481,FK Spartak Varna,3278,fk-spartak-varna,bulgaria
482,Botev Plovdiv,5241,botev-plovdiv,bulgaria
483,Aigle Noir SC,271294,aigle-noir-sc,burundi
484,Flambeau du Centre,341719,flambeau-du-centre,burundi
485,Muzinga FC,345189,muzinga-fc,burundi
486,Olympic Star,327936,olympic-star,burundi
487,Musongati FC,334574,musongati-fc,burundi
488,Bumamuru,326098,bumamuru,burundi
489,Royal Vision 2026,827522,royal-vision-2026,burundi
490,Kayanza United,329383,kayanza-united,burundi
491,Le Messager Ngozi,273393,le-messager-ngozi,burundi
492,Garage Express,452094,garage-express,burundi
493,Ngozi City,326353,ngozi-city,burundi
494,Inter Stars,239489,inter-stars,burundi
495,Rukinzo FC,325658,rukinzo-fc,burundi
496,Vital'O FC,215597,vitalo-fc,burundi
497,BG Green Maze FC,1110447,green-farmers-fc,burundi
498,BS Dynamik,326097,bs-dynamik,burundi
499,Svay Rieng FC,153474,svay-rieng-fc,cambodia
500,Angkor Tiger,294279,angkor-tiger,cambodia
501,Tiffy Army FC,465538,tiffy-army-fc,cambodia
502,Visakha FC,291651,visakha-fc,cambodia
503,MOI Kompong Deva FC​,319878,national-police-commissary,cambodia
